,acc,loss,val_acc,val_loss
0,0.26572554697554696,2.0109534021203275,0.3111,1.8732849239349365
1,0.3507279601029601,1.7951384015678593,0.4218,1.5932829669952393
2,0.38575852638352637,1.7067506738304326,0.4014,1.6460658088684081
3,0.413093507751938,1.6404570974120798,0.3793,1.8122469944000243
4,0.4332368082368082,1.590959845055638,0.4145,1.6723844844818114
5,0.4444980694980695,1.5556238229977424,0.3863,1.8085985736846923
6,0.45849483204134367,1.5289439243247651,0.4675,1.5853239036560058
7,0.46687982625482627,1.500448615701349,0.4976,1.415984065246582
8,0.480916184041184,1.4690803461246662,0.4839,1.4687735271453857
9,0.4908147609819121,1.448395078958467,0.4674,1.5846006546020508
10,0.49696348133848134,1.4281632057948461,0.5048,1.4447505096435547
11,0.49778796653796653,1.423838069847038,0.5172,1.3699949598312378
12,0.5088016795865633,1.3993289265829771,0.512,1.4423828590393066
13,0.5153445512820513,1.3878255636264116,0.5274,1.3923537113189697
14,0.5213985788113695,1.3697382579786217,0.53,1.3949965755462646
15,0.525096525096525,1.3617916134793786,0.5108,1.4666464147567748
16,0.5285650839793282,1.356175789691373,0.5357,1.3229967584609985
17,0.5350908944658944,1.3354485479867904,0.5372,1.3786109367370605
18,0.5380871943371943,1.3278096398791752,0.5546,1.3061885307312011
19,0.539823717948718,1.320177305661715,0.547,1.3094892238616944
20,0.5415657299741602,1.313670005909232,0.531,1.3739739686965942
21,0.5491965439276486,1.3074997537203845,0.5513,1.3044423873901367
22,0.5518219111969112,1.2901955579085087,0.5364,1.389700318145752
23,0.5528445512820512,1.2871277894729223,0.5506,1.3295372076034546
24,0.556968669250646,1.281884120724306,0.5207,1.5136076456069947
25,0.5577742921492922,1.2828238519769224,0.5459,1.4271847541809082
26,0.560562015503876,1.2708844166701463,0.5222,1.5168451232910156
27,0.5649734555984556,1.2615319054712812,0.5928,1.2041386756896972
28,0.5654359716859717,1.2621229771941784,0.5659,1.2898425245285035
29,0.568713803088803,1.249161594929689,0.5313,1.3853493450164795
30,0.5651647286821705,1.2552029033809977,0.5281,1.5203672241210937
31,0.5745592948717949,1.2405069852486634,0.549,1.3715792280197143
32,0.5706960594315246,1.2445933398350264,0.5724,1.2626577682495117
33,0.5709786821705426,1.2392363779304563,0.5482,1.3556974628448486
34,0.578225546975547,1.2275277391517179,0.5708,1.2985736724853516
35,0.580448717948718,1.2218250537529969,0.576,1.2622821077346802
36,0.5778423772609819,1.2248725875711564,0.5627,1.3382388975143433
37,0.5779641248391248,1.2251170971832375,0.5549,1.3011341484069825
38,0.5803052325581395,1.2212536726195067,0.5859,1.2497033668518067
39,0.5834539897039897,1.2191123812048286,0.5356,1.3651413953781129
40,0.5860883204633205,1.2136083735462322,0.5624,1.3289685075759887
41,0.5888030888030888,1.2068187079681238,0.5911,1.2365850944519043
42,0.585594315245478,1.2142679578882163,0.5438,1.3757623081207275
43,0.5852035070785071,1.2094173300987352,0.5693,1.2857716787338256
44,0.5868122586872587,1.2089214111693884,0.5641,1.2995933115005494
45,0.5878552971576227,1.2046449927550569,0.5707,1.328404972076416
46,0.5888020833333333,1.202294679177113,0.5795,1.2788442739486694
47,0.5895308462532299,1.2046761431127249,0.6019,1.179999799156189
48,0.5906129343629344,1.202778501170022,0.588,1.2298454950332642
49,0.591920045045045,1.2002456757399413,0.5599,1.3071197923660278
50,0.5925032175032175,1.1940970330318121,0.5774,1.2903443021774292
51,0.5932251291989664,1.188997073999055,0.5768,1.3007832420349121
52,0.5950973294723295,1.1874681151204742,0.5914,1.2421631689071655
53,0.5943733912483913,1.1918992589646171,0.5746,1.2861719326019287
54,0.5940717503217503,1.1935744738179899,0.5666,1.3100900400161744
55,0.5946951415701416,1.1894414975683048,0.59,1.2000266962051391
56,0.5921955749354005,1.193080193158576,0.5932,1.1972969081878662
57,0.5983952702702703,1.180387620760207,0.5865,1.2323476383209229
58,0.5957207207207207,1.1866759058744905,0.5805,1.2364500047683715
59,0.5968468468468469,1.1885402190332401,0.5823,1.2127779417037965
60,0.5966367894056848,1.1886622907271374,0.5554,1.3291037187576293
61,0.5981740669240669,1.1841449411525997,0.5487,1.385143984413147
62,0.5979126447876448,1.1860343718007111,0.5934,1.22629952583313
63,0.5981539575289575,1.1810063557888704,0.5845,1.286619485282898
64,0.5986164736164736,1.1765917683813716,0.5793,1.2585182708740235
65,0.6012798772609819,1.1778033354177648,0.5663,1.3246458881378174
66,0.6010698198198198,1.1793035972992887,0.5659,1.3137402162551879
67,0.5965250965250966,1.1826924901824813,0.5603,1.3048528635025025
68,0.5999071382428941,1.1769886615972494,0.5789,1.2285887958526611
69,0.6014720077220077,1.1863927466835602,0.5894,1.2048891193389892
70,0.5960022522522522,1.1857472734868604,0.5641,1.277368021774292
71,0.6002301356589147,1.17833634171375,0.582,1.250179797554016
72,0.5996420527670527,1.1784311258347953,0.5645,1.303039718437195
73,0.6025176962676962,1.176970766778158,0.5705,1.2800114414215087
74,0.601431788931789,1.1763307982276612,0.5756,1.2430546552658082
75,0.6031813063063063,1.1752681442209192,0.5975,1.1848486906051636
76,0.5997860142118863,1.1783830970910785,0.5741,1.2401535888671875
77,0.5996420527670527,1.1798557089102315,0.5493,1.3853638736724854
78,0.6012709137709138,1.1827885283773316,0.5614,1.306495192527771
79,0.5995817245817245,1.1729427953484435,0.5475,1.3107366556167603
80,0.6020350707850708,1.1780303557100136,0.5766,1.244819536590576
81,0.6001695736434108,1.1770165982326488,0.5864,1.2188720516204834
82,0.5998431467181468,1.1827692565156993,0.5957,1.195700859451294
83,0.599601833976834,1.1767739962733696,0.5885,1.2123958501815797
84,0.5993404118404119,1.1789883935160004,0.6009,1.1738782192230224
85,0.6030765503875969,1.177483554958373,0.5673,1.2818724180221557
86,0.5999436936936937,1.1756685139129521,0.5738,1.2708394102096559
87,0.6046107881136951,1.167779022100976,0.5902,1.2184677404403688
88,0.6052283653846153,1.1788508867606138,0.6119,1.134303351020813
89,0.6029958010335917,1.1802864649191076,0.5712,1.279250471496582
90,0.6000643500643501,1.1758810082304278,0.5634,1.3140903987884522
91,0.6049710424710425,1.1682525092263634,0.5793,1.2418468940734864
92,0.6030807593307593,1.1788115030396706,0.5933,1.170026736831665
93,0.6018854974160207,1.1747967767160992,0.5694,1.264794772720337
94,0.6026986808236808,1.1809441658213946,0.586,1.2417402055740356
95,0.6046090733590733,1.1715044002582053,0.568,1.300941570854187
96,0.5973837209302325,1.1815433169520178,0.5795,1.2352185634613038
97,0.60438787001287,1.1762145969398234,0.5643,1.2732169507980347
98,0.6000040218790219,1.1844958410606727,0.5761,1.2235247737884523
99,0.6024774774774775,1.1752473698926555,0.5363,1.3570091217041016
